Strategy,Avg. Baseline %HITS@N,Avg. Reform %HITS@N,% Imp. %HITS@N,Avg. Baseline MAP,Avg. Reform MAP,% Imp. MAP,Avg. Baseline MRR,Avg. Reform MRR,% Imp. MRR
BLIZZARD--TITLE+T_OB+S2R,0.2279305897,0.2768261436,0.2145194903,0.058586386,0.0941548176,0.607110865,0.0744906485,0.1176182836,0.5789671048
BLIZZARD--TITLE+T_OB+T_OTHER+S2R,0.2279305897,0.2763760274,0.212544695,0.058586386,0.0898968199,0.5344319036,0.0744906485,0.1131589049,0.519102159
BLIZZARD--TITLE+OB+T_OTHER+T_S2R,0.2279305897,0.2763359394,0.2123688172,0.058586386,0.0880110148,0.5022434517,0.0744906485,0.1130430967,0.517547491
BLIZZARD--TITLE+T_OB+CODE,0.2279305897,0.2761935537,0.2117441281,0.058586386,0.0895590116,0.5286659173,0.0744906485,0.1158226218,0.5548612369
BLIZZARD--TITLE,0.2279305897,0.276153745,0.2115694756,0.058586386,0.1013756638,0.7303621302,0.0744906485,0.1308679538,0.7568373544
BLIZZARD--OB+T_OTHER+CODE,0.2279305897,0.2760852916,0.2112691498,0.058586386,0.0921436498,0.5727826203,0.0744906485,0.1216075551,0.6325210954
BLIZZARD--TITLE+T_S2R,0.2279305897,0.275930508,0.2105900677,0.058586386,0.093809018,0.6012084776,0.0744906485,0.1164587316,0.5634006954
BLIZZARD--TITLE+T_OB+T_OTHER+CODE,0.2279305897,0.2759093577,0.210497275,0.058586386,0.090542367,0.5454506262,0.0744906485,0.1162501985,0.5606012412
BLIZZARD--TITLE+OB+S2R+CODE,0.2279305897,0.2757297732,0.2097093837,0.058586386,0.0898880973,0.5342830203,0.0744906485,0.1168317276,0.5684079815
BLIZZARD--TITLE+OB+T_OTHER+S2R+CODE,0.2279305897,0.2754672822,0.2085577567,0.058586386,0.0908623988,0.550913188,0.0744906485,0.1168099395,0.568115487
BLIZZARD--OB+T_OTHER+T_S2R,0.2279305897,0.2752553521,0.2076279557,0.058586386,0.0872957137,0.490034111,0.0744906485,0.1116452215,0.49878171
BLIZZARD--OB+T_TITLE+T_OTHER+CODE,0.2279305897,0.2751830308,0.2073106607,0.058586386,0.0906190356,0.5467592687,0.0744906485,0.1175518825,0.5780757035
BLIZZARD--TITLE+T_OTHER+CODE,0.2279305897,0.2750960687,0.2069291318,0.058586386,0.0928165252,0.584267804,0.0744906485,0.1222430381,0.6410521397
BLIZZARD--OB+T_TITLE+T_OTHER,0.2279305897,0.2741846439,0.2029304373,0.058586386,0.090390319,0.5428553474,0.0744906485,0.1167138628,0.5668257052
BLIZZARD--TITLE+T_OB+S2R+CODE,0.2279305897,0.2741046573,0.2025795116,0.058586386,0.0893814644,0.5256353977,0.0744906485,0.1149439306,0.5430652428
BLIZZARD--OB+T_OTHER+S2R+CODE,0.2279305897,0.2740835845,0.2024870589,0.058586386,0.089909282,0.5346446166,0.0744906485,0.116183851,0.5597105596
BLIZZARD--TITLE+T_OB+T_OTHER+S2R+CODE,0.2279305897,0.2740240404,0.2022258211,0.058586386,0.0905326186,0.5452842328,0.0744906485,0.1155874367,0.5517039929
BLIZZARD--OB+T_OTHER+EB,0.2279305897,0.2738625986,0.2015175276,0.058586386,0.0878443319,0.4993983728,0.0744906485,0.1126758768,0.5126177462
BLIZZARD--OB+CODE,0.2279305897,0.2735280221,0.2000496397,0.058586386,0.0914141796,0.560331431,0.0744906485,0.1217385231,0.6342792767
BLIZZARD--OB+T_TITLE+CODE,0.2279305897,0.273311195,0.1990983543,0.058586386,0.0901929418,0.5394863537,0.0744906485,0.1174133157,0.5762155124
BLIZZARD--TITLE+OB+T_OTHER+EB,0.2279305897,0.2732928566,0.1990178984,0.058586386,0.0881331275,0.5043277705,0.0744906485,0.1129861877,0.5167835165
BLIZZARD--TITLE+T_OTHER+S2R+CODE,0.2279305897,0.273225831,0.1987238368,0.058586386,0.0911205599,0.555319692,0.0744906485,0.1176739176,0.5797139644
BLIZZARD--TITLE+OB+T_S2R+EB,0.2279305897,0.2731904172,0.1985684658,0.058586386,0.0873677193,0.4912631617,0.0744906485,0.1116613459,0.4989981715
BLIZZARD--TITLE+CODE,0.2279305897,0.2731857175,0.1985478468,0.058586386,0.092605367,0.5806635845,0.0744906485,0.1226024154,0.6458766024
BLIZZARD--TITLE+S2R+CODE,0.2279305897,0.2731145088,0.1982354329,0.058586386,0.0908894757,0.5513753596,0.0744906485,0.1180035759,0.5841394637
BLIZZARD--TITLE+OB+T_OTHER+T_S2R+EB,0.2279305897,0.2730987684,0.1981663748,0.058586386,0.0875387208,0.4941819544,0.0744906485,0.1118890876,0.5020554908
BLIZZARD--OB+S2R+CODE,0.2279305897,0.2730932692,0.1981422482,0.058586386,0.0882161117,0.5057442128,0.0744906485,0.1145252488,0.5374446477
BLIZZARD--OB+T_OTHER+T_S2R+EB,0.2279305897,0.273083461,0.1980992168,0.058586386,0.0874909416,0.4933664209,0.0744906485,0.111887144,0.502029399
BLIZZARD--TITLE+T_OB+T_OTHER+T_S2R,0.2279305897,0.2729322954,0.1974360079,0.058586386,0.0876999943,0.4969347021,0.0744906485,0.1112377694,0.4933118675
BLIZZARD--TITLE+T_OB+T_OTHER+S2R+EB,0.2279305897,0.2728884528,0.1972436572,0.058586386,0.0871849482,0.4881434757,0.0744906485,0.1109085086,0.4888917045
BLIZZARD--OB+T_TITLE+T_S2R+EB,0.2279305897,0.2728022425,0.1968654267,0.058586386,0.0873521137,0.4909967931,0.0744906485,0.1118579184,0.5016370602
BLIZZARD--OB+T_TITLE+T_OTHER+T_S2R+EB,0.2279305897,0.2727540949,0.1966541888,0.058586386,0.0874188948,0.4921366669,0.0744906485,0.1118776487,0.5019019299
BLIZZARD--TITLE+OB+T_OTHER+S2R+EB,0.2279305897,0.2724401821,0.1952769587,0.058586386,0.0873688842,0.4912830454,0.0744906485,0.1113900981,0.4953568054
BLIZZARD--OB+T_TITLE+T_OTHER+S2R+EB,0.2279305897,0.2720858858,0.1937225548,0.058586386,0.0870593442,0.4859995661,0.0744906485,0.1108990439,0.4887646464
BLIZZARD--TITLE+OB+EB,0.2279305897,0.272064721,0.1936296982,0.058586386,0.0901118857,0.5381028218,0.0744906485,0.1146715935,0.5394092522
BLIZZARD--OB+T_TITLE+S2R+CODE,0.2279305897,0.2720433663,0.1935360087,0.058586386,0.0886489162,0.51313167,0.0744906485,0.1134429868,0.522915817
BLIZZARD--OB+T_OTHER+S2R+EB,0.2279305897,0.2719869413,0.1932884552,0.058586386,0.0871002884,0.4866984344,0.0744906485,0.1112771085,0.4938399758
BLIZZARD--OB+T_OTHER+T_S2R+T_EB,0.2279305897,0.2719321403,0.193048027,0.058586386,0.0876871428,0.4967153412,0.0744906485,0.1116655443,0.4990545339
BLIZZARD--TITLE+OB+T_S2R+CODE,0.2279305897,0.2718197149,0.1925547829,0.058586386,0.0876815692,0.4966202069,0.0744906485,0.1124800588,0.5099889868
BLIZZARD--TITLE+OB+S2R+EB,0.2279305897,0.2717169194,0.1921037882,0.058586386,0.0873089645,0.4902602876,0.0744906485,0.1113187236,0.4943986377
BLIZZARD--OB+T_S2R+EB,0.2279305897,0.2717002157,0.1920305041,0.058586386,0.0874386648,0.4924741179,0.0744906485,0.1116108946,0.498320888
BLIZZARD--T_OB+T_TITLE+T_OTHER+S2R+EB,0.2279305897,0.2716563046,0.1918378526,0.058586386,0.0867960743,0.4815058602,0.0744906485,0.1105208284,0.4836872909
BLIZZARD--OB+T_TITLE+T_OTHER+S2R+CODE,0.2279305897,0.2715632525,0.191429605,0.058586386,0.0893756083,0.525535441,0.0744906485,0.1143366151,0.5349123337
TITLE+OB+T_OTHER,0.2279305897,0.2715406903,0.191330618,0.058586386,0.0864188374,0.4750668747,0.0744906485,0.110358417,0.4815069972
BLIZZARD--OB+T_TITLE+T_OTHER+EB,0.2279305897,0.2714952758,0.1911313711,0.058586386,0.0874322484,0.4923645963,0.0744906485,0.1123046392,0.5076340659
BLIZZARD--OB+T_TITLE+T_S2R+CODE+EB,0.2279305897,0.2712929727,0.1902438063,0.058586386,0.0867980169,0.481539019,0.0744906485,0.1109912789,0.4900028543
BLIZZARD--OB+T_TITLE+T_S2R+CODE,0.2279305897,0.2712816738,0.1901942348,0.058586386,0.0876772741,0.4965468937,0.0744906485,0.1121308538,0.5053010821
BLIZZARD--TITLE+T_OB+T_OTHER+T_S2R+EB,0.2279305897,0.2712408787,0.1900152546,0.058586386,0.0870442439,0.4857418205,0.0744906485,0.1106771704,0.4857861037
BLIZZARD--T_OB+T_OTHER+S2R+EB,0.2279305897,0.2712316851,0.1899749192,0.058586386,0.0866906942,0.4797071482,0.0744906485,0.1102696892,0.4803158717
BLIZZARD--TITLE+OB+T_S2R+CODE+EB,0.2279305897,0.2711561474,0.1896435127,0.058586386,0.0868823166,0.4829779141,0.0744906485,0.1111061036,0.4915443192
BLIZZARD--TITLE+T_OB+T_S2R+EB,0.2279305897,0.2711528553,0.1896290692,0.058586386,0.0870970595,0.486643321,0.0744906485,0.1105332403,0.4838539144
BLIZZARD--TITLE+T_OTHER+S2R+EB,0.2279305897,0.2711239777,0.1895023746,0.058586386,0.087060255,0.4860151115,0.0744906485,0.111032883,0.4905613697
BLIZZARD--TITLE+OB+T_OTHER+T_EB,0.2279305897,0.2710804891,0.1893115772,0.058586386,0.0876096615,0.4953928281,0.0744906485,0.111726969,0.4998791295
BLIZZARD--TITLE+T_OB+T_OTHER+EB,0.2279305897,0.2710738296,0.1892823598,0.058586386,0.0895408361,0.5283556829,0.0744906485,0.1141030144,0.5317763607
BLIZZARD--TITLE+OB+T_OTHER+T_S2R+CODE,0.2279305897,0.2710388159,0.1891287443,0.058586386,0.0879795111,0.5017057205,0.0744906485,0.1122675418,0.5071360516
BLIZZARD--OB+T_S2R+CODE+EB,0.2279305897,0.2710132983,0.189016791,0.058586386,0.0869317252,0.483821261,0.0744906485,0.1111392688,0.4919895456
BLIZZARD--OB+T_TITLE+T_OTHER+T_S2R+T_EB,0.2279305897,0.2709444634,0.1887147914,0.058586386,0.0873860634,0.4915762734,0.0744906485,0.111493601,0.4967462803
BLIZZARD--T_OB+T_TITLE+T_OTHER+T_S2R+EB,0.2279305897,0.2709102189,0.1885645503,0.058586386,0.0866380215,0.4788080869,0.0744906485,0.1102226713,0.4796846786
BLIZZARD--OB+S2R,0.2279305897,0.270856657,0.1883295582,0.058586386,0.0927854609,0.5837375742,0.0744906485,0.1170960598,0.5719565098
BLIZZARD--TITLE+OB+T_OTHER+T_S2R+T_EB,0.2279305897,0.2708383575,0.1882492731,0.058586386,0.087618452,0.4955428707,0.0744906485,0.1115761312,0.4978542074
BLIZZARD--OB+T_S2R,0.2279305897,0.2707839032,0.1880103656,0.058586386,0.0902870547,0.5410927491,0.0744906485,0.1126951354,0.5128762832
BLIZZARD--TITLE+T_OTHER+T_S2R+EB,0.2279305897,0.270779159,0.1879895515,0.058586386,0.0868678147,0.4827303835,0.0744906485,0.1106759305,0.4857694587
BLIZZARD--OB+T_S2R+CODE,0.2279305897,0.2706993311,0.1876393224,0.058586386,0.0871329214,0.4872554413,0.0744906485,0.1116441377,0.4987671605
BLIZZARD--OB+T_TITLE+EB,0.2279305897,0.2706181842,0.1872833067,0.058586386,0.0897176211,0.531373193,0.0744906485,0.1148091761,0.5412562304
BLIZZARD--OB+EB,0.2279305897,0.2705489146,0.1869794002,0.058586386,0.090181932,0.5392984288,0.0744906485,0.1146951624,0.539725653
BLIZZARD--OB+T_TITLE+T_OTHER+S2R+T_EB,0.2279305897,0.2704933386,0.1867355712,0.058586386,0.0873388427,0.4907702724,0.0744906485,0.1110694481,0.4910522379
BLIZZARD--T_OB+T_OTHER+T_S2R+T_EB,0.2279305897,0.2704774967,0.186666068,0.058586386,0.0864540977,0.475668727,0.0744906485,0.1096297818,0.4717254315
BLIZZARD--TITLE+T_OB+EB,0.2279305897,0.2704488664,0.1865404585,0.058586386,0.0903697038,0.5425034705,0.0744906485,0.1141313494,0.5321567429
BLIZZARD--OB+T_OTHER+S2R+T_EB,0.2279305897,0.2704078818,0.1863606467,0.058586386,0.0873318412,0.4906507651,0.0744906485,0.1109807765,0.4898618658
BLIZZARD--TITLE+T_S2R+EB,0.2279305897,0.270384852,0.1862596082,0.058586386,0.0866001684,0.47816198,0.0744906485,0.1100585786,0.4774818161
BLIZZARD--T_TITLE+T_OTHER+S2R+EB,0.2279305897,0.2703721727,0.1862039802,0.058586386,0.0866584919,0.4791574922,0.0744906485,0.1103185601,0.4809719384
BLIZZARD--OB+T_TITLE+T_OTHER+T_S2R+CODE+EB,0.2279305897,0.2703482656,0.1860990924,0.058586386,0.0864720552,0.4759752392,0.0744906485,0.1100167911,0.476920839
BLIZZARD--OB+T_OTHER+T_S2R+CODE+EB,0.2279305897,0.2703408175,0.1860664153,0.058586386,0.0867528506,0.4807680837,0.0744906485,0.1102803514,0.4804590064
BLIZZARD--OB+S2R+CODE+EB,0.2279305897,0.2702979397,0.1858782977,0.058586386,0.0867783815,0.4812038665,0.0744906485,0.1110597307,0.490921786
BLIZZARD--OB+T_TITLE+S2R+CODE+EB,0.2279305897,0.2702863356,0.1858273872,0.058586386,0.0866371142,0.4787926008,0.0744906485,0.1107969473,0.4873940502
BLIZZARD--TITLE+OB+T_OTHER+T_S2R+CODE+EB,0.2279305897,0.2702767583,0.1857853686,0.058586386,0.086620599,0.4785107067,0.0744906485,0.110091231,0.4779201585
BLIZZARD--TITLE+OB+T_OTHER+S2R+T_EB,0.2279305897,0.2702659342,0.18573788,0.058586386,0.0875253019,0.4939529104,0.0744906485,0.1110762196,0.4911431419
BLIZZARD--TITLE+OB+S2R+CODE+EB,0.2279305897,0.2702137251,0.185508823,0.058586386,0.0867663931,0.4809992377,0.0744906485,0.1109963889,0.4900714539
BLIZZARD--TITLE+OB+T_OTHER+S2R+CODE+EB,0.2279305897,0.2701563759,0.1852572147,0.058586386,0.0868020334,0.4816075754,0.0744906485,0.1106177348,0.4849882106
BLIZZARD--OB+T_OTHER+S2R+CODE+EB,0.2279305897,0.2701530692,0.1852427071,0.058586386,0.0868474639,0.4823830209,0.0744906485,0.1106779291,0.4857962893
BLIZZARD--TITLE+T_OB+T_S2R+CODE,0.2279305897,0.2701329657,0.1851545073,0.058586386,0.0871172142,0.486987338,0.0744906485,0.1115567226,0.497593656
BLIZZARD--OB+T_TITLE+T_OTHER+S2R+CODE+EB,0.2279305897,0.2701263421,0.1851254473,0.058586386,0.0865129227,0.4766728002,0.0744906485,0.1100667733,0.4775918257
BLIZZARD--T_OB+T_TITLE+T_OTHER+S2R+T_EB,0.2279305897,0.2700998424,0.1850091853,0.058586386,0.0867823179,0.481271055,0.0744906485,0.1101696175,0.4789724583
BLIZZARD--T_OB+T_OTHER+T_S2R+EB,0.2279305897,0.2700925141,0.1849770336,0.058586386,0.0863862583,0.4745107887,0.0744906485,0.1096749884,0.4723323084
BLIZZARD--OB+S2R+EB,0.2279305897,0.2700906159,0.1849687058,0.058586386,0.0867993354,0.4815615233,0.0744906485,0.1107115968,0.4862482612
BLIZZARD--TITLE+T_OB+S2R+EB,0.2279305897,0.2700596801,0.1848329813,0.058586386,0.0865380181,0.4771011484,0.0744906485,0.1100592095,0.4774902862
BLIZZARD--TITLE+T_OB+T_OTHER+T_S2R+T_EB,0.2279305897,0.2700390048,0.1847422723,0.058586386,0.0871074562,0.4868207808,0.0744906485,0.1104500934,0.4827377078
BLIZZARD--OB+T_TITLE+S2R+EB,0.2279305897,0.2700326873,0.1847145555,0.058586386,0.0866026537,0.4782044015,0.0744906485,0.1107061252,0.4861748081
BLIZZARD--TITLE+T_OTHER+T_S2R+T_EB,0.2279305897,0.2700119327,0.184623499,0.058586386,0.0869916654,0.4848443686,0.0744906485,0.1104010742,0.4820796495
BLIZZARD--TITLE+T_OB+T_OTHER+T_EB,0.2279305897,0.2699677988,0.1844298703,0.058586386,0.0890806489,0.5205008355,0.0744906485,0.1131784258,0.5193642166
BLIZZARD--TITLE+T_OB+T_OTHER+S2R+T_EB,0.2279305897,0.2699596406,0.1843940777,0.058586386,0.0873291682,0.4906051409,0.0744906485,0.1106045915,0.4848117686
BLIZZARD--OB+T_OTHER+T_S2R+CODE,0.2279305897,0.2699330656,0.1842774853,0.058586386,0.0876411359,0.4959300575,0.0744906485,0.1119796364,0.5032710645
BLIZZARD--TITLE+S2R+EB,0.2279305897,0.2699310268,0.1842685404,0.058586386,0.0862813572,0.4727202516,0.0744906485,0.1096763847,0.472351053
BLIZZARD--OB+T_OTHER+T_EB,0.2279305897,0.2699160761,0.1842029473,0.058586386,0.0868193419,0.481903012,0.0744906485,0.1110427615,0.4906939836
BLIZZARD--T_OB+T_OTHER+S2R+T_EB,0.2279305897,0.2698268322,0.1838114075,0.058586386,0.0868665025,0.4827079874,0.0744906485,0.1100715079,0.4776553853
BLIZZARD--OB+T_TITLE+CODE+EB,0.2279305897,0.2698200295,0.183781562,0.058586386,0.0861729587,0.4708700187,0.0744906485,0.1108638021,0.4882915422
BLIZZARD--TITLE+T_OB+T_OTHER+T_S2R+CODE,0.2279305897,0.2697922576,0.1836597184,0.058586386,0.0874342241,0.4923983196,0.0744906485,0.1120764713,0.5045710244
BLIZZARD--T_OB+T_TITLE+T_OTHER+T_S2R+T_EB,0.2279305897,0.269771459,0.1835684684,0.058586386,0.0865453234,0.4772258403,0.0744906485,0.1099840289,0.4764810227
BLIZZARD--TITLE+T_OTHER+EB,0.2279305897,0.2696939225,0.1832282928,0.058586386,0.088168887,0.5049381425,0.0744906485,0.1127899397,0.5141489842
BLIZZARD--TITLE+T_OB+T_OTHER+S2R+CODE+EB,0.2279305897,0.2696832576,0.1831815026,0.058586386,0.0866793971,0.4795143199,0.0744906485,0.1101740741,0.4790322863
BLIZZARD--OB+T_OTHER+CODE+EB,0.2279305897,0.2696443208,0.183010675,0.058586386,0.0863476659,0.4738520622,0.0744906485,0.110870876,0.4883865055
BLIZZARD--TITLE+OB+T_OTHER+CODE+EB,0.2279305897,0.2696370869,0.1829789376,0.058586386,0.086151851,0.4705097348,0.0744906485,0.1106512627,0.4854383063
BLIZZARD--TITLE+OB+CODE+EB,0.2279305897,0.26958597,0.1827546726,0.058586386,0.0864565968,0.4757113841,0.0744906485,0.1110470359,0.4907513645
BLIZZARD--T_TITLE+T_OTHER+S2R+T_EB,0.2279305897,0.269575274,0.1827077461,0.058586386,0.0865585972,0.4774524087,0.0744906485,0.10993172,0.4757788023
BLIZZARD--T_TITLE+T_OTHER+T_S2R+EB,0.2279305897,0.2695559415,0.1826229284,0.058586386,0.0866347734,0.478752646,0.0744906485,0.1101926406,0.4792815322
BLIZZARD--TITLE+OB+T_S2R+T_EB,0.2279305897,0.2695059296,0.1824035115,0.058586386,0.0866848553,0.4796074845,0.0744906485,0.1097501899,0.4733418507
BLIZZARD--TITLE+T_OTHER+T_S2R,0.2279305897,0.2694335238,0.1820858451,0.058586386,0.0858685696,0.4656744574,0.0744906485,0.1086823639,0.4590068164
BLIZZARD--T_TITLE+T_OTHER+T_S2R+T_EB,0.2279305897,0.2694292156,0.182066944,0.058586386,0.0864853034,0.4762013716,0.0744906485,0.1099290905,0.4757435032
BLIZZARD--TITLE+T_OTHER+S2R+CODE+EB,0.2279305897,0.2694016879,0.1819461718,0.058586386,0.0869131485,0.4835041783,0.0744906485,0.1107013711,0.4861109868
BLIZZARD--TITLE+S2R+CODE+EB,0.2279305897,0.2693854075,0.1818747447,0.058586386,0.0866166212,0.4784428095,0.0744906485,0.1104691434,0.482993445
BLIZZARD--OB+T_TITLE+T_OTHER+S2R,0.2279305897,0.2693167913,0.1815737048,0.058586386,0.0897320959,0.5316202604,0.0744906485,0.1142086517,0.5331944884
BLIZZARD--OB+CODE+EB,0.2279305897,0.2693133958,0.1815588079,0.058586386,0.0861741114,0.4708896924,0.0744906485,0.1108135757,0.4876172782
BLIZZARD--OB+T_TITLE+T_OTHER+CODE+EB,0.2279305897,0.2692667038,0.1813539558,0.058586386,0.0858043649,0.4645785605,0.0744906485,0.1101038187,0.4780891423
BLIZZARD--TITLE+T_OTHER+S2R+T_EB,0.2279305897,0.2692096952,0.1811038421,0.058586386,0.0870219253,0.4853608688,0.0744906485,0.110296934,0.4806816192
BLIZZARD--T_OB+T_TITLE+T_OTHER+S2R+CODE+EB,0.2279305897,0.26919303,0.1810307269,0.058586386,0.0866879706,0.4796606598,0.0744906485,0.1101905875,0.4792539706
BLIZZARD--OB+T_TITLE+T_OTHER+T_S2R+CODE,0.2279305897,0.2690667911,0.1804768789,0.058586386,0.0875551683,0.4944626934,0.0744906485,0.1118899647,0.5020672652
BLIZZARD--TITLE+T_S2R+CODE+EB,0.2279305897,0.2690659439,0.1804731616,0.058586386,0.0864921979,0.4763190519,0.0744906485,0.1099919925,0.4765879306
BLIZZARD--OB+T_TITLE+T_S2R+T_EB,0.2279305897,0.2690542078,0.1804216722,0.058586386,0.0861948627,0.4712438939,0.0744906485,0.1093762551,0.4683219612
BLIZZARD--TITLE+T_OB+S2R+CODE+EB,0.2279305897,0.2689905764,0.1801425018,0.058586386,0.0866474566,0.4789691338,0.0744906485,0.1106088764,0.4848692911
BLIZZARD--TITLE+T_OB+T_OTHER+T_S2R+CODE+EB,0.2279305897,0.2689280588,0.1798682183,0.058586386,0.0866086637,0.4783069843,0.0744906485,0.1099992361,0.4766851721
BLIZZARD--T_OB+T_TITLE+T_OTHER+T_S2R+CODE+EB,0.2279305897,0.2688486498,0.1795198272,0.058586386,0.086556098,0.4774097503,0.0744906485,0.1099414316,0.4759091763
BLIZZARD--T_OB+S2R+CODE+EB,0.2279305897,0.2688376942,0.1794717616,0.058586386,0.0866474923,0.4789697427,0.0744906485,0.1106085451,0.484864844
BLIZZARD--T_OB+T_OTHER+S2R+CODE+EB,0.2279305897,0.2688241279,0.1794122425,0.058586386,0.0867542975,0.4807927805,0.0744906485,0.1102179421,0.4796211923
BLIZZARD--T_OB+T_TITLE+S2R+CODE+EB,0.2279305897,0.2687944254,0.1792819285,0.058586386,0.0865335005,0.4770240374,0.0744906485,0.1104790513,0.4831264536
BLIZZARD--TITLE+T_OB+T_S2R+CODE+EB,0.2279305897,0.2687829066,0.1792313921,0.058586386,0.086559299,0.4774643885,0.0744906485,0.1099393018,0.4758805846
TITLE,0.2279305897,0.2687098773,0.1789109908,0.058586386,0.0968093787,0.6524210688,0.0744906485,0.1249360607,0.6772046325
BLIZZARD--T_OB+T_TITLE+T_OTHER+EB,0.2279305897,0.2687022178,0.1788773862,0.058586386,0.0884450496,0.5096519109,0.0744906485,0.1129099453,0.5157599993
BLIZZARD--OB+T_TITLE+T_OTHER+T_EB,0.2279305897,0.2686942868,0.1788425904,0.058586386,0.0865902663,0.4779929634,0.0744906485,0.1110632689,0.4909692851
BLIZZARD--TITLE+OB+S2R+T_EB,0.2279305897,0.2686465551,0.1786331773,0.058586386,0.0865868646,0.4779348991,0.0744906485,0.1092893888,0.4671558242
BLIZZARD--TITLE+T_OTHER+T_EB,0.2279305897,0.2686161703,0.17849987,0.058586386,0.087632436,0.4957815613,0.0744906485,0.1115366744,0.4973245184
BLIZZARD--T_TITLE+S2R+CODE+EB,0.2279305897,0.2685547683,0.1782304808,0.058586386,0.0863395453,0.4737134535,0.0744906485,0.1100962331,0.4779873089
BLIZZARD--TITLE+T_OB+OTHER+T_S2R+CODE,0.2279305897,0.2684632031,0.1778287566,0.058586386,0.0856936237,0.4626883388,0.0744906485,0.1094065255,0.4687283267
BLIZZARD--T_OB+T_OTHER+EB,0.2279305897,0.268459338,0.1778117992,0.058586386,0.0881866205,0.505240833,0.0744906485,0.1121101381,0.5050229847
BLIZZARD--T_OB+T_TITLE+T_OTHER+T_S2R+CODE,0.2279305897,0.2684465276,0.1777555965,0.058586386,0.0864531206,0.4756520481,0.0744906485,0.1106121862,0.484913723
BLIZZARD--T_OB+T_OTHER+T_S2R+CODE+EB,0.2279305897,0.2684314347,0.1776893792,0.058586386,0.0866149652,0.4784145435,0.0744906485,0.1098826872,0.4751205614
BLIZZARD--OB+T_TITLE+S2R+T_EB,0.2279305897,0.2683714804,0.1774263417,0.058586386,0.0859769112,0.4675237209,0.0744906485,0.1087958094,0.4605297664
BLIZZARD--TITLE+OB+T_EB,0.2279305897,0.2683414558,0.177294615,0.058586386,0.0874968688,0.4934675906,0.0744906485,0.1090187438,0.4635225491
BLIZZARD--OB+T_OTHER+T_S2R+CODE+T_EB,0.2279305897,0.2682964992,0.1770973766,0.058586386,0.0864449862,0.4755132049,0.0744906485,0.1097617977,0.4734976801
BLIZZARD--TITLE+T_S2R+CODE,0.2279305897,0.268295882,0.1770946688,0.058586386,0.0879066293,0.500461716,0.0744906485,0.1120865142,0.5047058452
BLIZZARD--TITLE+T_OB+OTHER+S2R,0.2279305897,0.2682903953,0.1770705971,0.058586386,0.0864847752,0.4761923559,0.0744906485,0.109434343,0.469101763
